,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx,source_file,temp
49,2300.0,6,500,17,5,0.006,2.83,1.586368832887276,74.43118944762523,test_2300.0_30deg.csv,30
50,2300.0,6,500,20,5,0.006,2.86,1.585991782286813,96.8428101778167,test_2300.0_30deg.csv,30
51,2300.0,7,125,2,5,0.042,26.14,1.5879420654502658,27.257145353619407,test_2300.0_30deg.csv,30
52,2300.0,7,125,3,5,0.042,26.15,1.5888485976193898,29.124712855519803,test_2300.0_30deg.csv,30
53,2300.0,7,125,4,5,0.042,26.17,1.5881163199591175,31.410957791179783,test_2300.0_30deg.csv,30
54,2300.0,7,125,5,5,0.042,26.16,1.5891045421566332,33.543330499043435,test_2300.0_30deg.csv,30
55,2300.0,7,125,6,5,0.042,26.2,1.5888031676039998,35.73835009565998,test_2300.0_30deg.csv,30
56,2300.0,7,125,7,5,0.042,26.19,1.588716886980762,38.08855591336541,test_2300.0_30deg.csv,30
57,2300.0,7,125,8,5,0.042,26.2,1.5896044830884677,40.301928929019056,test_2300.0_30deg.csv,30
58,2300.0,7,125,9,5,0.042,26.25,1.5877530630302148,42.82073225160787,test_2300.0_30deg.csv,30
59,2300.0,7,125,10,5,0.042,26.25,1.588081384641434,46.09461262933264,test_2300.0_30deg.csv,30
60,2300.0,7,125,11,5,0.042,26.24,1.5881621709713023,49.29468849561283,test_2300.0_30deg.csv,30
61,2300.0,7,125,12,5,0.042,26.29,1.588406994964789,53.38385058321381,test_2300.0_30deg.csv,30
62,2300.0,7,125,13,5,0.042,26.28,1.589784417738545,57.960780406121,test_2300.0_30deg.csv,30
63,2300.0,7,125,14,5,0.042,26.06,1.5874555358201652,60.240444103339385,test_2300.0_30deg.csv,30
64,2300.0,7,125,15,5,0.042,26.06,1.587600926997158,65.40445570804155,test_2300.0_30deg.csv,30
65,2300.0,7,125,16,5,0.042,26.07,1.5871749923638752,72.11666159344351,test_2300.0_30deg.csv,30
66,2300.0,7,125,17,5,0.042,26.06,1.5872747672590952,80.1521613010328,test_2300.0_30deg.csv,30
67,2300.0,7,125,20,5,0.042,26.11,1.5864863949528225,105.4824166863083,test_2300.0_30deg.csv,30
68,2300.0,7,250,2,5,0.021,13.2,1.588897922049072,27.3368056221492,test_2300.0_30deg.csv,30
69,2300.0,7,250,3,5,0.021,13.21,1.5887568122811844,29.16380929987205,test_2300.0_30deg.csv,30
70,2300.0,7,250,4,5,0.021,13.23,1.5877860675832969,31.38069908729752,test_2300.0_30deg.csv,30
71,2300.0,7,250,5,5,0.021,13.27,1.5890100562836054,33.4479723215258,test_2300.0_30deg.csv,30
72,2300.0,7,250,6,5,0.021,13.28,1.5876391560298435,35.56057359511355,test_2300.0_30deg.csv,30
73,2300.0,7,250,7,5,0.021,13.28,1.5879529958734129,37.89566680950197,test_2300.0_30deg.csv,30
74,2300.0,7,250,8,5,0.021,13.29,1.5882697983093126,40.06190153575636,test_2300.0_30deg.csv,30
75,2300.0,7,250,9,5,0.021,13.33,1.587163515559378,42.50101965629775,test_2300.0_30deg.csv,30
76,2300.0,7,250,10,5,0.021,13.35,1.5875098591626786,45.68917418029377,test_2300.0_30deg.csv,30
77,2300.0,7,250,11,5,0.021,13.34,1.5878585918287969,48.89957873818116,test_2300.0_30deg.csv,30
78,2300.0,7,250,12,5,0.021,13.35,1.588291450581625,52.935914475294624,test_2300.0_30deg.csv,30
79,2300.0,7,250,13,5,0.021,13.37,1.587731650744234,57.29983226345643,test_2300.0_30deg.csv,30
80,2300.0,7,250,14,5,0.021,13.1,1.5853745636549954,60.08561364412082,test_2300.0_30deg.csv,30
81,2300.0,7,250,15,5,0.021,13.12,1.5865813468175327,64.78437584708219,test_2300.0_30deg.csv,30
82,2300.0,7,250,16,5,0.021,13.14,1.5863044627705107,71.83850547478741,test_2300.0_30deg.csv,30
83,2300.0,7,250,17,5,0.021,13.13,1.5879000735846758,79.94609059968293,test_2300.0_30deg.csv,30
84,2300.0,7,250,20,5,0.021,13.16,1.5869620211779416,104.65236328496388,test_2300.0_30deg.csv,30
85,2300.0,7,500,2,5,0.011,6.73,1.5882024237757644,27.440631516628496,test_2300.0_30deg.csv,30
86,2300.0,7,500,3,5,0.011,6.74,1.588542166168147,29.22682020454071,test_2300.0_30deg.csv,30
87,2300.0,7,500,4,5,0.011,6.79,1.5885302206904657,31.268582261910915,test_2300.0_30deg.csv,30
88,2300.0,7,500,5,5,0.011,6.77,1.5892907384466128,33.435708753190426,test_2300.0_30deg.csv,30
89,2300.0,7,500,6,5,0.011,6.79,1.5883581272861498,35.46411844910821,test_2300.0_30deg.csv,30
90,2300.0,7,500,7,5,0.011,6.83,1.5880155321182878,37.54893090523172,test_2300.0_30deg.csv,30
91,2300.0,7,500,8,5,0.011,6.84,1.588891257555948,39.6195154292522,test_2300.0_30deg.csv,30
92,2300.0,7,500,9,5,0.011,6.83,1.5883130051237369,42.208242976130286,test_2300.0_30deg.csv,30
93,2300.0,7,500,10,5,0.011,6.85,1.5878156598922215,45.21488214365372,test_2300.0_30deg.csv,30
94,2300.0,7,500,11,5,0.011,6.89,1.5880374973655704,48.0500823907677,test_2300.0_30deg.csv,30
95,2300.0,7,500,12,5,0.011,6.9,1.588159986150883,51.92274566811008,test_2300.0_30deg.csv,30
96,2300.0,7,500,13,5,0.011,6.93,1.5877786820823931,56.0444099619132,test_2300.0_30deg.csv,30
97,2300.0,7,500,14,5,0.011,6.64,1.5867085701009866,59.99411879960263,test_2300.0_30deg.csv,30
98,2300.0,7,500,15,5,0.011,6.65,1.5861724319916914,64.65848567648257,test_2300.0_30deg.csv,30
99,2300.0,7,500,16,5,0.011,6.67,1.5871154359390611,71.38778055416084,test_2300.0_30deg.csv,30
100,2300.0,7,500,17,5,0.011,6.67,1.5873808620205494,79.0822781007206,test_2300.0_30deg.csv,30
101,2300.0,7,500,20,5,0.011,6.69,1.5873843128349143,103.61643266462087,test_2300.0_30deg.csv,30
102,2300.0,8,125,2,5,0.073,51.97,1.5875023845813168,27.37171943847185,test_2300.0_30deg.csv,30
103,2300.0,8,125,3,5,0.073,52.01,1.58800143514601,29.265418007403337,test_2300.0_30deg.csv,30
104,2300.0,8,125,4,5,0.073,52.0,1.5884192475093837,31.590861711409666,test_2300.0_30deg.csv,30
105,2300.0,8,125,5,5,0.073,52.04,1.5872161591535612,33.70336285272768,test_2300.0_30deg.csv,30
106,2300.0,8,125,6,5,0.073,52.05,1.5881141012096491,35.93379754740406,test_2300.0_30deg.csv,30
107,2300.0,8,125,7,5,0.073,52.06,1.5876352671188976,38.30226561777305,test_2300.0_30deg.csv,30
108,2300.0,8,125,8,5,0.073,52.09,1.5882285880893388,40.50711597653413,test_2300.0_30deg.csv,30
109,2300.0,8,125,9,5,0.073,52.09,1.5886014926787868,43.148547973028464,test_2300.0_30deg.csv,30
110,2300.0,8,125,10,5,0.073,52.1,1.5879308598857929,46.41621361551089,test_2300.0_30deg.csv,30
111,2300.0,8,125,11,5,0.073,52.12,1.5886311498730057,49.6660689896112,test_2300.0_30deg.csv,30
112,2300.0,8,125,12,5,0.073,52.13,1.5882460530542322,53.799246943493785,test_2300.0_30deg.csv,30
113,2300.0,8,125,13,5,0.073,52.12,1.5879762709429095,58.42817312152877,test_2300.0_30deg.csv,30
114,2300.0,8,125,14,5,0.073,51.91,1.5849978087639,60.28243559051288,test_2300.0_30deg.csv,30
115,2300.0,8,125,15,5,0.073,51.9,1.585841473349762,65.25953383620299,test_2300.0_30deg.csv,30
116,2300.0,8,125,16,5,0.073,51.92,1.5854567745264878,72.17806935563881,test_2300.0_30deg.csv,30
117,2300.0,8,125,17,5,0.073,51.91,1.5865790764038712,80.39901868764133,test_2300.0_30deg.csv,30
118,2300.0,8,125,20,5,0.073,51.98,1.5857479204597402,105.8118625647114,test_2300.0_30deg.csv,30
119,2300.0,8,250,2,5,0.037,26.15,1.586764938933545,27.51877273404512,test_2300.0_30deg.csv,30
120,2300.0,8,250,3,5,0.037,26.16,1.5865452682870542,29.35321998554257,test_2300.0_30deg.csv,30
121,2300.0,8,250,4,5,0.037,26.16,1.586133091159419,31.6775675660932,test_2300.0_30deg.csv,30
122,2300.0,8,250,5,5,0.037,26.18,1.5868312607202424,33.78143572832125,test_2300.0_30deg.csv,30
123,2300.0,8,250,6,5,0.037,26.18,1.5867670391419528,36.00901925203472,test_2300.0_30deg.csv,30
124,2300.0,8,250,7,5,0.037,26.19,1.587171766914381,38.368337633814775,test_2300.0_30deg.csv,30
125,2300.0,8,250,8,5,0.037,26.22,1.5883136801399294,40.57065564551458,test_2300.0_30deg.csv,30
126,2300.0,8,250,9,5,0.037,26.24,1.5875233605667836,43.15014174767851,test_2300.0_30deg.csv,30
127,2300.0,8,250,10,5,0.037,26.23,1.5872042955320809,46.42382641321187,test_2300.0_30deg.csv,30
128,2300.0,8,250,11,5,0.037,26.25,1.587858742080664,49.630411178298445,test_2300.0_30deg.csv,30
129,2300.0,8,250,12,5,0.037,26.27,1.5885994069469302,53.70626787433191,test_2300.0_30deg.csv,30
130,2300.0,8,250,13,5,0.037,26.28,1.588372901170284,58.27683978145072,test_2300.0_30deg.csv,30
131,2300.0,8,250,14,5,0.037,26.07,1.5844106456348903,60.21889784107749,test_2300.0_30deg.csv,30
132,2300.0,8,250,15,5,0.037,26.04,1.5855978605504364,65.35674678339043,test_2300.0_30deg.csv,30
133,2300.0,8,250,16,5,0.037,26.07,1.5858369784088562,72.19579617041131,test_2300.0_30deg.csv,30
134,2300.0,8,250,17,5,0.037,26.1,1.585945242238908,80.3454932433293,test_2300.0_30deg.csv,30
135,2300.0,8,250,20,5,0.037,26.1,1.5867852250349366,105.7958253502141,test_2300.0_30deg.csv,30
136,2300.0,8,500,2,5,0.019,13.22,1.5870446948751056,27.86624770932674,test_2300.0_30deg.csv,30
137,2300.0,8,500,3,5,0.019,13.23,1.5867645415272296,29.6566135463822,test_2300.0_30deg.csv,30
138,2300.0,8,500,4,5,0.019,13.24,1.587552122779347,31.955199053664035,test_2300.0_30deg.csv,30
139,2300.0,8,500,5,5,0.019,13.24,1.5868237216060914,34.03454543437229,test_2300.0_30deg.csv,30
140,2300.0,8,500,6,5,0.019,13.25,1.588394775916076,36.205403887103785,test_2300.0_30deg.csv,30
141,2300.0,8,500,7,5,0.019,13.29,1.5881468691347576,38.46974046406828,test_2300.0_30deg.csv,30
142,2300.0,8,500,8,5,0.019,13.31,1.5883081178443037,40.6141427171618,test_2300.0_30deg.csv,30
143,2300.0,8,500,9,5,0.019,13.3,1.5890990568168295,43.24587651946024,test_2300.0_30deg.csv,30
144,2300.0,8,500,10,5,0.019,13.33,1.5877651759870923,46.336684794298485,test_2300.0_30deg.csv,30
145,2300.0,8,500,11,5,0.019,13.32,1.5886009176944351,49.59457365883186,test_2300.0_30deg.csv,30
146,2300.0,8,500,12,5,0.019,13.35,1.5886842956390392,53.538654869972426,test_2300.0_30deg.csv,30
147,2300.0,8,500,13,5,0.019,13.35,1.5886437957417316,58.06222165472657,test_2300.0_30deg.csv,30
148,2300.0,8,500,14,5,0.019,13.11,1.5867916452797044,60.69878546830884,test_2300.0_30deg.csv,30
149,2300.0,8,500,15,5,0.019,13.14,1.5855543953592002,65.20560314178321,test_2300.0_30deg.csv,30
150,2300.0,8,500,16,5,0.019,13.12,1.5856743794337675,72.22385447769867,test_2300.0_30deg.csv,30
151,2300.0,8,500,17,5,0.019,13.16,1.5856075131050005,80.09707680765787,test_2300.0_30deg.csv,30
152,2300.0,8,500,20,5,0.019,13.2,1.5873235477836982,105.26702847174604,test_2300.0_30deg.csv,30
153,2300.0,9,125,2,5,0.145,103.69,1.5880371996404956,27.439857599956447,test_2300.0_30deg.csv,30
154,2300.0,9,125,3,5,0.145,103.71,1.588703301508479,29.329855278740983,test_2300.0_30deg.csv,30
155,2300.0,9,125,4,5,0.145,103.73,1.5886392108780671,31.66361138805172,test_2300.0_30deg.csv,30
156,2300.0,9,125,5,5,0.145,103.73,1.5885497429593374,33.77612642276004,test_2300.0_30deg.csv,30
157,2300.0,9,125,6,5,0.145,103.74,1.587710514998804,36.019443233590934,test_2300.0_30deg.csv,30
158,2300.0,9,125,7,5,0.145,103.78,1.5872609192478593,38.40755015051615,test_2300.0_30deg.csv,30
159,2300.0,9,125,8,5,0.145,103.78,1.5873976475309155,40.65071728668509,test_2300.0_30deg.csv,30
160,2300.0,9,125,9,5,0.145,103.78,1.5884134088877315,43.287545650496845,test_2300.0_30deg.csv,30
161,2300.0,9,125,10,5,0.145,103.84,1.5879312432710837,46.5728728112402,test_2300.0_30deg.csv,30
162,2300.0,9,125,11,5,0.145,103.82,1.5876377283947334,49.831630276683,test_2300.0_30deg.csv,30
163,2300.0,9,125,12,5,0.145,103.82,1.5887696228657824,54.02273756137832,test_2300.0_30deg.csv,30
