,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.63,5.98052159378851,19.318034417929997
1,3300.0,7,125,-2,5,4.1216e-05,36.61,8.357926483080812,19.924365249404882
2,3300.0,7,125,-1,5,4.1216e-05,36.61,8.405821724793082,20.58553382116976
3,3300.0,7,125,0,5,4.1216e-05,36.56,8.285674615416095,22.340669835451795
4,3300.0,7,125,1,5,4.1216e-05,36.67,8.371826706620835,23.38754335355641
5,3300.0,7,125,2,5,4.1216e-05,36.68,8.084760095742803,24.402240272739082
6,3300.0,7,125,3,5,4.1216e-05,36.63,8.478258751524484,25.70557066250974
7,3300.0,7,125,4,5,4.1216e-05,36.64,8.307604648434094,27.101434610780377
8,3300.0,7,125,5,5,4.1216e-05,36.64,8.354278204249596,28.71252233190508
9,3300.0,7,125,6,5,4.1216e-05,36.7,8.48934107287779,30.490840645831586
10,3300.0,7,125,7,5,4.1216e-05,36.69,8.282097749895355,32.53470519384882
11,3300.0,7,125,8,5,4.1216e-05,36.65,8.479671597306774,34.79466049973106
12,3300.0,7,125,9,5,4.1216e-05,36.7,8.457608657629331,37.27279830759327
13,3300.0,7,125,10,5,4.1216e-05,36.71,8.276376256723431,39.98345611905542
14,3300.0,7,125,11,5,4.1216e-05,36.67,8.293372233150182,42.47612780479778
15,3300.0,7,125,12,5,4.1216e-05,36.75,8.305213280792076,44.54632214634609
16,3300.0,7,125,13,5,4.1216e-05,36.73,8.268357060086867,45.780523900248994
17,3300.0,7,125,14,5,4.1216e-05,36.78,8.21050951641974,46.31534889729141
18,3300.0,7,125,15,5,4.1216e-05,36.8,8.463113369173632,46.52722270651579
19,3300.0,7,250,-3,5,2.0608e-05,18.53,8.195983225406811,19.357328202806727
20,3300.0,7,250,-2,5,2.0608e-05,18.54,9.032698973891744,20.017652844590092
21,3300.0,7,250,-1,5,2.0608e-05,18.56,9.02447171964241,20.65127076334351
22,3300.0,7,250,0,5,2.0608e-05,18.57,9.007638543010124,22.388816177573382
