,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,2900.0,7,125,-3,5,4.1216e-05,36.64,5.500159936304893,18.3573008115581
1,2900.0,7,125,-2,5,4.1216e-05,36.59,5.943746335868393,18.927476406033275
2,2900.0,7,125,-1,5,4.1216e-05,36.62,6.076362176896452,19.561027501160634
3,2900.0,7,125,0,5,4.1216e-05,36.68,6.219804601810647,21.20176242569583
4,2900.0,7,125,1,5,4.1216e-05,36.61,6.428227158460116,22.193515850211252
5,2900.0,7,125,2,5,4.1216e-05,36.71,5.689635682644277,23.182097491478427
6,2900.0,7,125,3,5,4.1216e-05,36.62,6.46962727347758,24.398033479002706
7,2900.0,7,125,4,5,4.1216e-05,36.65,6.524922897657052,25.75473494781327
8,2900.0,7,125,5,5,4.1216e-05,36.67,6.247948937898367,27.192015187628403
9,2900.0,7,125,6,5,4.1216e-05,36.67,5.458789521379425,28.881275650823657
10,2900.0,7,125,7,5,4.1216e-05,36.73,6.123571386878411,30.74038403673876
11,2900.0,7,125,8,5,4.1216e-05,36.74,6.3918994133749045,32.85728792351999
12,2900.0,7,125,9,5,4.1216e-05,36.71,6.1190772055368186,35.25988829151502
13,2900.0,7,125,10,5,4.1216e-05,36.73,6.3704071682135295,37.72219382310028
14,2900.0,7,125,11,5,4.1216e-05,36.73,6.440080622075163,39.98772437803456
15,2900.0,7,125,12,5,4.1216e-05,36.75,6.22253091049044,41.89976088780223
16,2900.0,7,125,13,5,4.1216e-05,36.75,5.7825777797654005,42.98755186853041
17,2900.0,7,125,14,5,4.1216e-05,36.74,6.388718976070138,43.64200791216673
18,2900.0,7,125,15,5,4.1216e-05,36.73,6.430297180448603,43.92756053019627
19,2900.0,7,250,-3,5,2.0608e-05,18.57,6.266942621686043,18.400643817889414
20,2900.0,7,250,-2,5,2.0608e-05,18.58,7.126021500264575,19.016486951731565
21,2900.0,7,250,-1,5,2.0608e-05,18.57,5.4887143151581705,19.635494254217996
22,2900.0,7,250,0,5,2.0608e-05,18.62,7.157335374061402,21.246756937023747
23,2900.0,7,250,1,5,2.0608e-05,18.63,6.63722015776095,22.222364309264147
24,2900.0,7,250,2,5,2.0608e-05,18.58,6.467434704388151,23.259462627367988
25,2900.0,7,250,3,5,2.0608e-05,18.62,6.988660933967169,24.366197665040854
26,2900.0,7,250,4,5,2.0608e-05,18.65,5.467250657356745,25.71743120778449
27,2900.0,7,250,5,5,2.0608e-05,18.6,6.519404311119874,27.19212800263442
28,2900.0,7,250,6,5,2.0608e-05,18.64,5.848096747479841,28.77883780728974
29,2900.0,7,250,7,5,2.0608e-05,18.68,7.048872083777042,30.627686011283178
30,2900.0,7,250,8,5,2.0608e-05,18.69,6.482773001638254,32.67460226236804
31,2900.0,7,250,9,5,2.0608e-05,18.66,6.683231071740999,35.0911545913062
32,2900.0,7,250,10,5,2.0608e-05,18.65,6.977952563983275,37.535243515594395
33,2900.0,7,250,11,5,2.0608e-05,18.7,5.96041738038896,39.69577352569716
34,2900.0,7,250,12,5,2.0608e-05,18.67,6.2487580529800155,41.61989965622768
35,2900.0,7,250,13,5,2.0608e-05,18.72,6.72427469692102,42.58614655011616
36,2900.0,7,250,14,5,2.0608e-05,18.66,6.789717863901945,43.30636554212493
37,2900.0,7,250,15,5,2.0608e-05,18.66,6.755039448544321,43.63283440514454
38,2900.0,7,500,-3,5,1.0304e-05,9.53,6.941483162840987,18.608474765035602
39,2900.0,7,500,-2,5,1.0304e-05,9.54,7.3395394983917,19.211667755955226
40,2900.0,7,500,-1,5,1.0304e-05,9.57,6.198702340899592,19.76403325553449
41,2900.0,7,500,0,5,1.0304e-05,9.58,6.686519761209561,21.325422542198442
42,2900.0,7,500,1,5,1.0304e-05,9.56,6.7682775095846095,22.33218283137396
43,2900.0,7,500,2,5,1.0304e-05,9.57,7.494939716507416,23.29762813046746
44,2900.0,7,500,3,5,1.0304e-05,9.58,7.497860273149282,24.389783698955842
45,2900.0,7,500,4,5,1.0304e-05,9.59,7.160358354601754,25.669785778408816
46,2900.0,7,500,5,5,1.0304e-05,9.59,7.322888248292457,27.06371665330518
47,2900.0,7,500,6,5,1.0304e-05,9.58,7.2194425127889845,28.7033312896475
48,2900.0,7,500,7,5,1.0304e-05,9.6,6.415809856840609,30.47101983462902
49,2900.0,7,500,8,5,1.0304e-05,9.62,7.445291082490512,32.461992838729884
50,2900.0,7,500,9,5,1.0304e-05,9.68,7.309159010073728,34.56707882837896
51,2900.0,7,500,10,5,1.0304e-05,9.64,7.435601573776121,37.048609014993886
52,2900.0,7,500,11,5,1.0304e-05,9.7,7.327540959408628,38.989535825269535
53,2900.0,7,500,12,5,1.0304e-05,9.69,6.93074261630942,40.841125690847626
54,2900.0,7,500,13,5,1.0304e-05,9.69,6.396629395025487,41.89900682451381
55,2900.0,7,500,14,5,1.0304e-05,9.67,6.810269717571942,42.591373230813765
56,2900.0,7,500,15,5,1.0304e-05,9.67,7.354388556102416,42.89431341562526
57,2900.0,8,125,-3,5,8.2432e-05,62.49,8.02656884278831,18.345158467865964
58,2900.0,8,125,-2,5,8.2432e-05,0.42,9.698908574832107,14.005777815888242
59,2900.0,8,125,-1,5,8.2432e-05,62.51,5.464699952846131,19.603235086874843
60,2900.0,8,125,0,5,8.2432e-05,0.43,10.429251389635915,14.027780266499452
61,2900.0,8,125,1,5,8.2432e-05,0.41,10.74173442650345,14.135630446923765
62,2900.0,8,125,2,5,8.2432e-05,62.46,5.466780803373207,23.304991608151653
63,2900.0,8,125,3,5,8.2432e-05,62.51,5.469717749695484,24.48007852110277
64,2900.0,8,125,4,5,8.2432e-05,0.38,11.852690968748828,14.532772996500762
65,2900.0,8,125,5,5,8.2432e-05,62.57,5.473881842720629,27.31881052695754
66,2900.0,8,125,6,5,8.2432e-05,62.56,5.496256917922143,29.01438613209339
67,2900.0,8,125,7,5,8.2432e-05,62.52,5.470098819379111,30.925301680858002
68,2900.0,8,125,8,5,8.2432e-05,62.55,5.467019761050867,33.056653095607075
69,2900.0,8,125,9,5,8.2432e-05,62.58,5.465157762988348,35.43735599135805
70,2900.0,8,125,10,5,8.2432e-05,62.62,5.480427342251328,37.95137387542548
71,2900.0,8,125,11,5,8.2432e-05,62.55,5.477518030693969,40.23013845089535
72,2900.0,8,125,12,5,8.2432e-05,62.64,5.4802478358994415,42.096700819311444
73,2900.0,8,125,13,5,8.2432e-05,62.61,5.498907388507779,43.22920116358353
74,2900.0,8,125,14,5,8.2432e-05,62.62,5.471869815254119,43.84476534578257
75,2900.0,8,125,15,5,8.2432e-05,62.63,5.476165253850079,44.15681537543258
76,2900.0,8,250,-3,5,4.1216e-05,31.48,5.4693517390102855,18.510276143530294
77,2900.0,8,250,-2,5,4.1216e-05,31.52,6.03913915755633,19.12878042008069
78,2900.0,8,250,-1,5,4.1216e-05,31.52,5.99996112261572,19.764617248237457
79,2900.0,8,250,0,5,4.1216e-05,31.52,5.467452809377035,21.416500300725925
80,2900.0,8,250,1,5,4.1216e-05,31.5,6.070486168232457,22.436942349341624
81,2900.0,8,250,2,5,4.1216e-05,31.57,5.94831299792181,23.367514072322937
82,2900.0,8,250,3,5,4.1216e-05,31.51,6.07823546787037,24.587577219377547
83,2900.0,8,250,4,5,4.1216e-05,31.54,6.2219786386290155,25.930224506053342
84,2900.0,8,250,5,5,4.1216e-05,31.56,6.0278332311860465,27.404025655483156
85,2900.0,8,250,6,5,4.1216e-05,31.51,6.150451037441431,29.1150110786189
86,2900.0,8,250,7,5,4.1216e-05,31.56,6.148293047646384,30.959394159835735
87,2900.0,8,250,8,5,4.1216e-05,31.53,5.951007947147195,33.1070232052713
88,2900.0,8,250,9,5,4.1216e-05,31.6,6.089034638172549,35.45470146880226
89,2900.0,8,250,10,5,4.1216e-05,31.62,5.997177712989573,37.90979687957966
90,2900.0,8,250,11,5,4.1216e-05,31.61,6.006916884261173,40.17178169699469
91,2900.0,8,250,12,5,4.1216e-05,31.61,6.0696407500654885,42.06230487427591
92,2900.0,8,250,13,5,4.1216e-05,31.61,6.024543336684165,43.193170564694995
93,2900.0,8,250,14,5,4.1216e-05,31.6,5.955160328552026,43.81811794163796
94,2900.0,8,250,15,5,4.1216e-05,31.63,6.083390393608255,44.05980692192031
95,2900.0,8,500,-3,5,2.0608e-05,16.0,5.862613340036505,18.849113588483263
