,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.59,6.018187107636183,19.97968652183615
1,3300.0,7,125,-2,5,4.1216e-05,36.58,5.990603606376257,20.646559635056
2,3300.0,7,125,-1,5,4.1216e-05,36.61,6.8966111802363645,21.351934504514016
3,3300.0,7,125,0,5,4.1216e-05,36.56,7.025295111464455,23.50451566977927
4,3300.0,7,125,1,5,4.1216e-05,36.6,7.0360873145004055,24.693554569768423
5,3300.0,7,125,2,5,4.1216e-05,36.6,7.034092270517815,25.8974715777289
6,3300.0,7,125,3,5,4.1216e-05,36.64,6.945682664099522,27.259336979765145
7,3300.0,7,125,4,5,4.1216e-05,36.65,6.500860891617351,28.859776229723042
8,3300.0,7,125,5,5,4.1216e-05,36.59,7.077032270172434,30.632181172835164
9,3300.0,7,125,6,5,4.1216e-05,36.62,6.757194384210704,32.62661952421363
10,3300.0,7,125,7,5,4.1216e-05,36.68,7.074999520070477,34.76220188573876
11,3300.0,7,125,8,5,4.1216e-05,36.67,6.876551355946542,37.06992142797709
12,3300.0,7,125,9,5,4.1216e-05,36.65,6.529498799348211,39.5979740207956
13,3300.0,7,125,10,5,4.1216e-05,36.69,6.817450840425005,42.11584835494923
14,3300.0,7,125,11,5,4.1216e-05,36.69,7.014054704759461,44.42599249240411
15,3300.0,7,125,12,5,4.1216e-05,36.69,6.872265542198058,46.187602921879964
16,3300.0,7,125,13,5,4.1216e-05,36.74,6.792682859693404,47.0740066062219
17,3300.0,7,125,14,5,4.1216e-05,36.68,6.735799075361927,47.59826260994358
18,3300.0,7,125,15,5,4.1216e-05,36.71,6.812244745616052,47.749027401171
19,3300.0,7,250,-3,5,2.0608e-05,18.54,6.733287268179558,20.027946639145394
20,3300.0,7,250,-2,5,2.0608e-05,18.53,7.53771801736045,20.729688257669093
21,3300.0,7,250,-1,5,2.0608e-05,18.54,7.4781251361301875,21.435609063577996
22,3300.0,7,250,0,5,2.0608e-05,18.56,7.295193799733025,23.53550572575901
23,3300.0,7,250,1,5,2.0608e-05,18.59,7.663330128296611,24.68407948377024
24,3300.0,7,250,2,5,2.0608e-05,18.53,7.4924461735297445,25.91190163074754
25,3300.0,7,250,3,5,2.0608e-05,18.61,6.852780701296087,27.21613125340322
26,3300.0,7,250,4,5,2.0608e-05,18.58,7.035282156246399,28.80819349054428
27,3300.0,7,250,5,5,2.0608e-05,18.64,7.157245205067792,30.516259028989406
28,3300.0,7,250,6,5,2.0608e-05,18.57,6.48796873516724,32.55095098425703
29,3300.0,7,250,7,5,2.0608e-05,18.58,7.65611448207988,34.682500996764695
30,3300.0,7,250,8,5,2.0608e-05,18.66,7.724220963889792,36.83445157310436
31,3300.0,7,250,9,5,2.0608e-05,18.62,7.836683172441859,39.38419995735112
32,3300.0,7,250,10,5,2.0608e-05,18.69,7.590467204051551,41.834594023558815
33,3300.0,7,250,11,5,2.0608e-05,18.65,7.537377752828533,44.10634157427252
