,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,2100.0,7,125,-3,5,4.1216e-05,36.69,2.858015882529114,14.295862913865607
1,2100.0,7,125,-2,5,4.1216e-05,36.78,3.257998968755493,14.671262249583405
2,2100.0,7,125,-1,5,4.1216e-05,36.75,2.8480782909470537,15.099962773951109
3,2100.0,7,125,0,5,4.1216e-05,36.76,2.8540217129998,16.38967681593279
4,2100.0,7,125,1,5,4.1216e-05,36.8,3.7359440641682284,17.062981180247196
5,2100.0,7,125,2,5,4.1216e-05,36.74,3.406884552523304,17.763757049038954
6,2100.0,7,125,3,5,4.1216e-05,36.77,3.7762818400807805,18.53817521801564
7,2100.0,7,125,4,5,4.1216e-05,36.8,3.7919800530364927,19.424655977357567
8,2100.0,7,125,5,5,4.1216e-05,36.8,3.721542488257451,20.42787144119149
9,2100.0,7,125,6,5,4.1216e-05,36.8,3.271966829843313,21.58503925172375
10,2100.0,7,125,7,5,4.1216e-05,36.79,3.193624393997233,22.8433219969912
11,2100.0,7,125,8,5,4.1216e-05,36.86,2.8546415213236034,24.036424639758653
12,2100.0,7,125,9,5,4.1216e-05,36.81,2.8607346308498762,25.26865256670519
13,2100.0,7,125,10,5,4.1216e-05,36.85,2.854901498365838,26.238738434082098
14,2100.0,7,125,11,5,4.1216e-05,36.82,2.85397355419558,26.907847792172053
15,2100.0,7,125,12,5,4.1216e-05,36.86,2.8542297731040427,27.304838888471913
16,2100.0,7,125,13,5,4.1216e-05,36.8,2.8549120832394475,27.54028595165611
17,2100.0,7,125,14,5,4.1216e-05,36.83,2.84081943725441,27.66249328057435
18,2100.0,7,125,15,5,4.1216e-05,36.87,2.853639055504546,27.76251665653177
19,2100.0,7,250,-3,5,2.0608e-05,18.7,2.855099081300557,14.424035078608584
20,2100.0,7,250,-2,5,2.0608e-05,18.75,3.373077299028036,14.806096235717234
21,2100.0,7,250,-1,5,2.0608e-05,18.75,2.842617906037449,15.233763785396913
22,2100.0,7,250,0,5,2.0608e-05,18.69,2.8529125695826587,16.54560271518833
23,2100.0,7,250,1,5,2.0608e-05,18.74,2.852181277574743,17.168786017884432
24,2100.0,7,250,2,5,2.0608e-05,18.75,2.9003922313408173,17.843831072726427
25,2100.0,7,250,3,5,2.0608e-05,18.77,3.299960512215607,18.600625414523208
26,2100.0,7,250,4,5,2.0608e-05,18.8,3.949495581391392,19.468067522620682
27,2100.0,7,250,5,5,2.0608e-05,18.75,2.848356084535494,20.47391857616977
28,2100.0,7,250,6,5,2.0608e-05,18.8,2.999920277878996,21.555794451865594
29,2100.0,7,250,7,5,2.0608e-05,18.77,3.4266618475494806,22.81256883316161
30,2100.0,7,250,8,5,2.0608e-05,18.78,3.3133708422546846,24.014851057290976
31,2100.0,7,250,9,5,2.0608e-05,18.82,3.37045015675823,25.151268877173788
32,2100.0,7,250,10,5,2.0608e-05,18.79,3.946524235855242,26.12310035997833
33,2100.0,7,250,11,5,2.0608e-05,18.82,3.547268155985197,26.771469360623023
34,2100.0,7,250,12,5,2.0608e-05,18.78,2.849892084505429,27.221376739287674
35,2100.0,7,250,13,5,2.0608e-05,18.78,3.382721158225477,27.426872634553725
36,2100.0,7,250,14,5,2.0608e-05,18.83,3.2364967012245742,27.500012187599435
37,2100.0,7,250,15,5,2.0608e-05,18.85,3.7331702895911434,27.611106836907904
38,2100.0,7,500,-3,5,1.0304e-05,9.64,3.1682622264472684,14.770666266151723
39,2100.0,7,500,-2,5,1.0304e-05,9.68,2.854391091434753,15.123040172033058
40,2100.0,7,500,-1,5,1.0304e-05,9.73,3.658596210574986,15.469480367270462
41,2100.0,7,500,0,5,1.0304e-05,9.76,3.1459891483164215,16.64335156236479
42,2100.0,7,500,1,5,1.0304e-05,9.73,4.201873038191872,17.339076849792143
43,2100.0,7,500,2,5,1.0304e-05,9.69,3.886500162467997,18.014124117536916
44,2100.0,7,500,3,5,1.0304e-05,9.71,3.549239621445711,18.768059427189986
45,2100.0,7,500,4,5,1.0304e-05,9.78,3.486312593308717,19.52481249614353
46,2100.0,7,500,5,5,1.0304e-05,9.7,3.4261758663595248,20.5690581363152
47,2100.0,7,500,6,5,1.0304e-05,9.74,3.2512700367006784,21.60617055081242
48,2100.0,7,500,7,5,1.0304e-05,9.73,2.90003825788632,22.812729467151318
49,2100.0,7,500,8,5,1.0304e-05,9.73,3.2125722052276093,23.98819037944979
50,2100.0,7,500,9,5,1.0304e-05,9.78,3.9975792759363356,24.97173035068816
