,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.66,6.52481243612187,20.21099495717697
1,3300.0,7,125,-2,5,4.1216e-05,36.67,6.47241954383804,20.763044608119277
2,3300.0,7,125,-1,5,4.1216e-05,36.68,6.82229221582453,21.42185037975045
3,3300.0,7,125,0,5,4.1216e-05,36.67,6.470009585775274,23.086700051342834
4,3300.0,7,125,1,5,4.1216e-05,36.69,6.695272266580726,24.109769514266
5,3300.0,7,125,2,5,4.1216e-05,36.68,7.032373267096302,25.14587300684139
6,3300.0,7,125,3,5,4.1216e-05,36.63,6.933493686007748,26.39450815926781
7,3300.0,7,125,4,5,4.1216e-05,36.71,6.828498213646434,27.754366339222656
8,3300.0,7,125,5,5,4.1216e-05,36.72,7.026397890456734,29.327366376816798
9,3300.0,7,125,6,5,4.1216e-05,36.66,7.583230806412323,31.175707278004953
10,3300.0,7,125,7,5,4.1216e-05,36.65,7.510191626305824,33.20011154834309
11,3300.0,7,125,8,5,4.1216e-05,36.72,6.814835973841582,35.47418299026695
12,3300.0,7,125,9,5,4.1216e-05,36.66,7.221994299048379,38.160178377692425
13,3300.0,7,125,10,5,4.1216e-05,36.76,7.108425635732143,40.91518980722557
14,3300.0,7,125,11,5,4.1216e-05,36.83,7.088170406673446,43.55464170326952
15,3300.0,7,125,12,5,4.1216e-05,36.72,6.4843560713350366,46.05890887597318
16,3300.0,7,125,13,5,4.1216e-05,36.75,7.369891991645073,47.46382992452101
17,3300.0,7,125,14,5,4.1216e-05,36.8,7.250362007590989,48.08912257998643
18,3300.0,7,125,15,5,4.1216e-05,36.76,6.481455506255982,48.40933621389893
19,3300.0,7,250,-3,5,2.0608e-05,18.58,6.474227079424132,20.2263701700168
20,3300.0,7,250,-2,5,2.0608e-05,18.56,7.949705764719647,20.90356878746338
21,3300.0,7,250,-1,5,2.0608e-05,18.57,7.937715069747348,21.517194415172867
22,3300.0,7,250,0,5,2.0608e-05,18.61,7.956999594749711,23.160753457141404
23,3300.0,7,250,1,5,2.0608e-05,18.58,8.31516310604447,24.207300953978447
24,3300.0,7,250,2,5,2.0608e-05,18.65,8.159944500170166,25.140844280623178
25,3300.0,7,250,3,5,2.0608e-05,18.62,6.469875079514582,26.351161338772584
26,3300.0,7,250,4,5,2.0608e-05,18.59,7.879014889959296,27.77059718690762
27,3300.0,7,250,5,5,2.0608e-05,18.64,7.89650343146064,29.304640690345806
28,3300.0,7,250,6,5,2.0608e-05,18.62,8.210840470472958,31.102438470620108
29,3300.0,7,250,7,5,2.0608e-05,18.69,7.930336433659867,32.993117969009525
30,3300.0,7,250,8,5,2.0608e-05,18.65,8.321643907680624,35.30192751630537
31,3300.0,7,250,9,5,2.0608e-05,18.68,7.863519485783832,37.879374745819995
32,3300.0,7,250,10,5,2.0608e-05,18.66,7.39026489934631,40.70293236096886
