,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.54,5.987377816431779,18.984411998334966
1,3300.0,7,125,-2,5,4.1216e-05,36.6,5.966352431042268,19.51103632802719
2,3300.0,7,125,-1,5,4.1216e-05,36.6,6.8163977868490075,20.124413327133997
3,3300.0,7,125,0,5,4.1216e-05,36.64,6.880181358293006,21.630321433000894
4,3300.0,7,125,1,5,4.1216e-05,36.63,6.879981413820564,22.594328157381096
5,3300.0,7,125,2,5,4.1216e-05,36.59,6.790789305337466,23.56048453750163
6,3300.0,7,125,3,5,4.1216e-05,36.61,6.876680877198919,24.68763932007602
7,3300.0,7,125,4,5,4.1216e-05,36.73,5.955712739209535,25.93544745831606
8,3300.0,7,125,5,5,4.1216e-05,36.62,6.801408855100911,27.449934082607996
9,3300.0,7,125,6,5,4.1216e-05,36.67,6.806217075955079,29.13195220646971
10,3300.0,7,125,7,5,4.1216e-05,36.62,6.931080105775988,31.060618811536457
11,3300.0,7,125,8,5,4.1216e-05,36.69,6.854376881402134,33.177440445330625
12,3300.0,7,125,9,5,4.1216e-05,36.66,6.795058473186656,35.76221663596267
13,3300.0,7,125,10,5,4.1216e-05,36.68,6.6011530902616595,38.608707163771165
14,3300.0,7,125,11,5,4.1216e-05,36.7,6.136296463919832,41.345055807147546
15,3300.0,7,125,12,5,4.1216e-05,36.79,6.667864677515517,43.811120985472115
16,3300.0,7,125,13,5,4.1216e-05,36.72,6.7915192507297935,45.57346933970711
17,3300.0,7,125,14,5,4.1216e-05,36.75,6.789377213468619,46.47743224567939
18,3300.0,7,125,15,5,4.1216e-05,36.79,6.6565073962288945,46.774046403387
19,3300.0,7,250,-3,5,2.0608e-05,18.59,6.513839958711409,18.970895328889398
20,3300.0,7,250,-2,5,2.0608e-05,18.55,7.282818051689403,19.620246248370357
21,3300.0,7,250,-1,5,2.0608e-05,18.54,7.300416295821779,20.243496632184925
22,3300.0,7,250,0,5,2.0608e-05,18.57,7.533283025699195,21.705052780054025
23,3300.0,7,250,1,5,2.0608e-05,18.57,7.463169175963529,22.659944907394504
24,3300.0,7,250,2,5,2.0608e-05,18.57,7.315147820610736,23.59744244155787
25,3300.0,7,250,3,5,2.0608e-05,18.55,5.959575758733136,24.724996558867197
26,3300.0,7,250,4,5,2.0608e-05,18.59,7.445375246437326,25.97669490616664
27,3300.0,7,250,5,5,2.0608e-05,18.63,7.465189396327719,27.389623314586718
28,3300.0,7,250,6,5,2.0608e-05,18.61,7.3966976977807635,29.08185635831205
