,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,2500.0,7,125,-3,5,4.1216e-05,36.8,4.100833552302488,16.324925541613325
1,2500.0,7,125,-2,5,4.1216e-05,36.8,4.969208811959232,16.79652396108349
2,2500.0,7,125,-1,5,4.1216e-05,36.76,5.115136577683937,17.357716597758994
3,2500.0,7,125,0,5,4.1216e-05,36.87,5.047477230315899,18.776575139403594
4,2500.0,7,125,1,5,4.1216e-05,36.82,4.7376815892059945,19.653461069852174
5,2500.0,7,125,2,5,4.1216e-05,36.84,4.903883533783704,20.47946400680134
6,2500.0,7,125,3,5,4.1216e-05,36.83,5.048898437579765,21.470742581855923
7,2500.0,7,125,4,5,4.1216e-05,36.76,5.168922093032903,22.630507209641426
8,2500.0,7,125,5,5,4.1216e-05,36.85,4.094597965486248,23.81986324761749
9,2500.0,7,125,6,5,4.1216e-05,36.89,5.1059700295742285,25.255036993187137
10,2500.0,7,125,7,5,4.1216e-05,36.87,5.102092822215547,26.857215453487207
11,2500.0,7,125,8,5,4.1216e-05,36.82,5.094714628130587,28.68226867242338
12,2500.0,7,125,9,5,4.1216e-05,36.78,4.952756483493157,30.592927827431204
13,2500.0,7,125,10,5,4.1216e-05,36.84,5.016923706052066,32.51483286151444
14,2500.0,7,125,11,5,4.1216e-05,36.88,5.016940413495892,34.09059272630372
15,2500.0,7,125,12,5,4.1216e-05,36.93,5.025223199313619,35.201926556693984
16,2500.0,7,125,13,5,4.1216e-05,36.87,4.953250629173985,35.92658814263675
17,2500.0,7,125,14,5,4.1216e-05,36.92,5.018527674533071,36.25435887566352
18,2500.0,7,125,15,5,4.1216e-05,36.88,5.009075139237144,36.474527746484426
19,2500.0,7,250,-3,5,2.0608e-05,18.74,4.860301977526973,16.46767541564732
20,2500.0,7,250,-2,5,2.0608e-05,18.75,5.405614426702377,16.990102928803633
21,2500.0,7,250,-1,5,2.0608e-05,18.71,5.648711047949846,17.535456044272728
22,2500.0,7,250,0,5,2.0608e-05,18.71,5.504732259862548,18.953778344867043
23,2500.0,7,250,1,5,2.0608e-05,18.79,5.747782296602837,19.709426960352683
24,2500.0,7,250,2,5,2.0608e-05,18.73,5.753013443360505,20.593131958036153
25,2500.0,7,250,3,5,2.0608e-05,18.82,5.7210817088812655,21.468232876693833
26,2500.0,7,250,4,5,2.0608e-05,18.82,5.856100064715801,22.57471470924257
27,2500.0,7,250,5,5,2.0608e-05,18.78,5.8063124297915065,23.83330461466236
28,2500.0,7,250,6,5,2.0608e-05,18.83,5.609916450026736,25.202889195852215
29,2500.0,7,250,7,5,2.0608e-05,18.82,5.855772972519785,26.797398652970738
30,2500.0,7,250,8,5,2.0608e-05,18.78,5.074520961734141,28.584641209279535
31,2500.0,7,250,9,5,2.0608e-05,18.8,5.1468286414104005,30.448116465071166
32,2500.0,7,250,10,5,2.0608e-05,18.9,4.481475678063783,32.19953325375461
33,2500.0,7,250,11,5,2.0608e-05,18.93,4.89118317975207,33.71237969700651
34,2500.0,7,250,12,5,2.0608e-05,18.85,5.331477497612388,35.03628042803587
35,2500.0,7,250,13,5,2.0608e-05,18.84,5.3191721515032295,35.651548919760884
36,2500.0,7,250,14,5,2.0608e-05,18.85,5.737288844559088,36.02429320695143
37,2500.0,7,250,15,5,2.0608e-05,18.92,5.261689763171059,36.11632669848678
38,2500.0,7,500,-3,5,1.0304e-05,9.7,4.076383239942855,16.78189222789951
39,2500.0,7,500,-2,5,1.0304e-05,9.68,5.5840079312359565,17.360980907789028
40,2500.0,7,500,-1,5,1.0304e-05,9.74,5.4306029396455555,17.7439996911782
41,2500.0,7,500,0,5,1.0304e-05,9.75,5.180201649375313,19.121259340534387
42,2500.0,7,500,1,5,1.0304e-05,9.75,5.521674086231352,19.928201488703273
43,2500.0,7,500,2,5,1.0304e-05,9.73,4.504734731709648,20.754133916439958
44,2500.0,7,500,3,5,1.0304e-05,9.71,6.0197306304086,21.705319890075863
45,2500.0,7,500,4,5,1.0304e-05,9.8,5.859337107349562,22.635714467687624
46,2500.0,7,500,5,5,1.0304e-05,9.78,6.022097725391139,23.823007129944493
47,2500.0,7,500,6,5,1.0304e-05,9.74,6.035513367117453,25.278266525062865
48,2500.0,7,500,7,5,1.0304e-05,9.78,5.923288391680559,26.725775689318997
49,2500.0,7,500,8,5,1.0304e-05,9.77,6.023648533529045,28.435639780536388
50,2500.0,7,500,9,5,1.0304e-05,9.77,6.015347645737145,30.20848684109312
