,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.63,6.009105658817931,19.571606711384153
1,3300.0,7,125,-2,5,4.1216e-05,36.58,8.424241114501424,20.234306372741376
2,3300.0,7,125,-1,5,4.1216e-05,36.6,8.418967419560397,20.896428684694015
3,3300.0,7,125,0,5,4.1216e-05,36.58,8.477164709711195,23.02924928625459
4,3300.0,7,125,1,5,4.1216e-05,36.63,8.466355173966004,24.157776194697725
5,3300.0,7,125,2,5,4.1216e-05,36.58,8.481109383694246,25.37713549307277
6,3300.0,7,125,3,5,4.1216e-05,36.65,8.410837482344805,26.69020392142751
7,3300.0,7,125,4,5,4.1216e-05,36.65,8.483185944928506,28.239456862715596
8,3300.0,7,125,5,5,4.1216e-05,36.66,8.496182784003569,29.93083687664905
9,3300.0,7,125,6,5,4.1216e-05,36.63,8.289257575165205,31.878166883062136
10,3300.0,7,125,7,5,4.1216e-05,36.68,8.33894369676761,33.91085956815256
11,3300.0,7,125,8,5,4.1216e-05,36.66,8.426780061157718,36.107136340211156
12,3300.0,7,125,9,5,4.1216e-05,36.65,8.46928332114874,38.45635386202463
13,3300.0,7,125,10,5,4.1216e-05,36.75,8.365139541772422,40.776126833388545
14,3300.0,7,125,11,5,4.1216e-05,36.77,8.327305406886126,42.76348057575605
15,3300.0,7,125,12,5,4.1216e-05,36.78,8.400024290066304,44.241058022893945
16,3300.0,7,125,13,5,4.1216e-05,36.71,8.330414324260108,45.072277153714445
17,3300.0,7,125,14,5,4.1216e-05,36.7,8.401134696970892,45.40639496632817
18,3300.0,7,125,15,5,4.1216e-05,36.71,8.335442833249655,45.56234411758794
19,3300.0,7,250,-3,5,2.0608e-05,18.53,8.168956687796715,19.63082780456699
20,3300.0,7,250,-2,5,2.0608e-05,18.55,8.791583994402172,20.290150692987904
21,3300.0,7,250,-1,5,2.0608e-05,18.53,8.751921066722922,20.981870555464692
22,3300.0,7,250,0,5,2.0608e-05,18.6,8.926015207978272,23.031681026368467
23,3300.0,7,250,1,5,2.0608e-05,18.58,9.008836686964118,24.188393630664365
24,3300.0,7,250,2,5,2.0608e-05,18.6,8.939244358882156,25.340353964793067
25,3300.0,7,250,3,5,2.0608e-05,18.6,8.91103365302176,26.641020231508897
26,3300.0,7,250,4,5,2.0608e-05,18.58,8.953281044219011,28.21949499441282
27,3300.0,7,250,5,5,2.0608e-05,18.57,9.015676112402112,29.890662144952337
28,3300.0,7,250,6,5,2.0608e-05,18.63,9.02267950714062,31.722885120213068
29,3300.0,7,250,7,5,2.0608e-05,18.63,9.071568651824885,33.747506310027546
30,3300.0,7,250,8,5,2.0608e-05,18.65,9.068444350669537,35.866082192520295
31,3300.0,7,250,9,5,2.0608e-05,18.65,9.015057595024224,38.20189320069497
32,3300.0,7,250,10,5,2.0608e-05,18.69,8.889039900883878,40.44508510913817
33,3300.0,7,250,11,5,2.0608e-05,18.68,8.964282076454872,42.47758685649629
34,3300.0,7,250,12,5,2.0608e-05,18.68,9.021887412091624,43.95479605208447
35,3300.0,7,250,13,5,2.0608e-05,18.69,9.012562484132664,44.692825239373356
36,3300.0,7,250,14,5,2.0608e-05,18.74,8.940447756291318,44.92091188011479
37,3300.0,7,250,15,5,2.0608e-05,18.68,8.939705148077929,45.155588617037495
38,3300.0,7,500,-3,5,1.0304e-05,9.55,8.784089481849044,19.75758535434065
39,3300.0,7,500,-2,5,1.0304e-05,9.57,9.179220908256278,20.4324758310309
40,3300.0,7,500,-1,5,1.0304e-05,9.54,9.192480426634763,21.12268487796795
41,3300.0,7,500,0,5,1.0304e-05,9.57,9.237355552133005,23.12210321417165
42,3300.0,7,500,1,5,1.0304e-05,9.56,9.24246193633707,24.230172320396342
43,3300.0,7,500,2,5,1.0304e-05,9.6,9.242707957378165,25.278133651721298
44,3300.0,7,500,3,5,1.0304e-05,9.58,9.221359706322097,26.625808120937005
45,3300.0,7,500,4,5,1.0304e-05,9.59,9.237402715228539,28.063863897889618
46,3300.0,7,500,5,5,1.0304e-05,9.58,9.177680944154726,29.69870707675389
47,3300.0,7,500,6,5,1.0304e-05,9.63,9.180095667070612,31.411533995577667
48,3300.0,7,500,7,5,1.0304e-05,9.59,9.234155369265405,33.474273945584706
49,3300.0,7,500,8,5,1.0304e-05,9.63,9.233936186565895,35.40006622153073
50,3300.0,7,500,9,5,1.0304e-05,9.72,9.085519098979871,37.4096447118657
51,3300.0,7,500,10,5,1.0304e-05,9.66,8.797204428524287,39.890938963462716
52,3300.0,7,500,11,5,1.0304e-05,9.7,9.184043927603796,41.66994798382176
53,3300.0,7,500,12,5,1.0304e-05,9.7,9.128987487025709,43.096759130096146
54,3300.0,7,500,13,5,1.0304e-05,9.65,9.05202925817285,43.99366008136492
55,3300.0,7,500,14,5,1.0304e-05,9.68,9.046868683749318,44.26057802903025
56,3300.0,7,500,15,5,1.0304e-05,9.66,8.946139971165545,44.43445080642037
57,3300.0,8,125,-3,5,8.2432e-05,62.46,10.320972326134974,19.554987646099292
58,3300.0,8,125,-2,5,8.2432e-05,62.46,6.006374921891962,20.282775097261258
59,3300.0,8,125,-1,5,8.2432e-05,62.46,5.991458824630392,20.972589501421414
60,3300.0,8,125,0,5,8.2432e-05,62.52,6.054206541924643,23.072283406053867
61,3300.0,8,125,1,5,8.2432e-05,62.48,5.983305707523969,24.25389121647856
62,3300.0,8,125,2,5,8.2432e-05,62.52,5.993525031157644,25.404657244322998
63,3300.0,8,125,3,5,8.2432e-05,62.55,6.203811565056165,26.76703273310714
64,3300.0,8,125,4,5,8.2432e-05,62.56,6.211041566296292,28.34018426873236
